pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-10-007,SHA-10-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.7 by 9.1,late 1950s,الخرطوم، حديقة الحيوان,شرحبيل احمد الطيب محمد سعيد وشخص اخر,,yes,no,no
SHA-10-008,SHA-10-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8 by 8.4,1954-1955,الخرطوم، جامعية السودان كلية، الفنون الجميلة,شرحبيل احمد وصديقه,,yes,no,no
SHA-10-009,SHA-10-009,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.6 by 9,1958,الخرطوم، حديقة الحيوان,شرحبيل احمد والطيب محمد سعيد,,yes,no,no
SHA-10-010,SHA-10-010,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.4 by 9.1,1959-1960,الخرطوم,كامل حسين,,yes,no,no
SHA-10-011,SHA-10-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.7 by 9,late 1950s,الخرطوم، حديقة الحيوان,شرحبيل احمد الطيب محمد سعيد وشخص اخر,,yes,no,no
SHA-10-012,SHA-10-012,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.2 by 15.2,09/08/1980,الخرطوم، افراء سنتر,نصر الدين شلقامي وشرحبيل احمد ومحمد عفيفي,,yes,no,no
SHA-10-013,SHA-10-013,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.7 by 12.5,1980s,الخرطوم,شرحبيل احمد وفرقته من صمنهم زكية ابو القاسم وعبدالله علي يعقوب وكامل حسين وحامد عثمان,,yes,no,no
SHA-10-014,SHA-10-014,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 9.7,1969-1970,الخرطوم، العمارات,شرحبيل احمد واصحابه راقصين,,yes,no,no
SHA-10-015,SHA-10-015,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.8 by 9.8,1969-1970,الخرطوم، العمارات,شرحبيل احمد وصديقينه,,yes,no,no
SHA-10-016,SHA-10-016,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 16.5 by 21.5,late 1950s,الخرطوم، كبري كوبر,شرحبيل احمد وموظفين اخرين من مكتب النشر,,yes,no,no
SHA-11-001,SHA-11-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 16.7 by 22.4,1966,اثيوبيا، اديس ابابا,شرحبيل احمد وضابط الجيش في مطار,,yes,no,no
SHA-11-002,SHA-11-002,ar,,شرحبيل احمد,شرحبيل احمد, جورق كوبلير,photograph 15.2 by 20.2,1966,كينيا، نيروبي,عزف فرقة هرامبي,,yes,no,no
SHA-11-003,SHA-11-003,ar,,شرحبيل احمد,شرحبيل احمد, جورق كوبلير,photograph 15.3 by 20.6,1966,كينيا، نيروبي,عزف فرقة هرامبي,,yes,no,no
SHA-11-004,SHA-11-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 14.5 by 20.7,1966,اثيوبيا، اديس ابابا,جمهور من معجبين شرحبيل احمد وهرامبي,,yes,no,no
SHA-11-005,SHA-11-005,ar,,شرحبيل احمد,شرحبيل احمد,جورق كوبلير,photograph 15.2 by 21,1966,الخرطوم، المسرح القومي,عزف فرقة هرامبي,,yes,no,no
SHA-11-006,SHA-11-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 15.3 by 20.3,1966,كينيا، نيروبي,عزف فرقة هرامبي,,yes,no,no
SHA-11-007,SHA-11-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 11.7 by 16.1,1966,كينيا، نيروبي,عزف فرقة هرامبي,,yes,no,no
SHA-11-008,SHA-11-008,ar,,شرحبيل احمد,شرحبيل احمد,وزارة الاعلام السوداني,photograph 10.6 by 15.2,1966,الخرطوم,هرامبي مع زعيم الازهري,,yes,no,no
SHA-11-009,SHA-11-009,ar,,شرحبيل احمد,شرحبيل احمد,جورق كوبلير,photograph 10.8 by 14.9,1966,اثيوبيا، اديس ابابا,هايلي سيلاسي في جمهور,,yes,no,no
