pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-03-060,SHA-03-060,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton ",Ramadan concert Adam Khalil 'Ali Yagoub Kamil Hussain,,yes,no,no
SHA-03-060,SHA-03-060,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان ادم خليل علي يعقوب كامل حسين,,yes,no,no
SHA-03-061,SHA-03-061,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton ",Ramadan Concert Sharhabil Ahmed Kamil Hussain ٍShahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-061,SHA-03-061,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم شرحبيل احمد كامل حسين وشهرية شرحبيل وناهد شرحبيل,,yes,no,no
SHA-03-062,SHA-03-062,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1993,Khartoum,Ali Yagoub Adam Khalil Kamil Hussain performing,,yes,no,no
SHA-03-062,SHA-03-062,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1993,الخرطوم,يعزف علي يعقوب ادم خليل كامل حسين,,yes,no,no
SHA-03-063,SHA-03-063,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan concert Adam Khalil 'Ali Yagoub Kamil Hussain,,yes,no,no
SHA-03-063,SHA-03-063,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان ادم خليل علي يعقوب كامل حسين,,yes,no,no
SHA-03-064,SHA-03-064,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,late 1990s,Holland,Shihab Sharhabil and five others around a table,,yes,no,no
SHA-03-064,SHA-03-064,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,late 1990s,هولاندا,شهاب شرحبيل وخمسة اخرين يقعدون حول طاولة ,,yes,no,no
SHA-03-065,SHA-03-065,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan concert Adam Khalil 'Ali Yagoub Kamil Hussain,,yes,no,no
SHA-03-065,SHA-03-065,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان شرحبيل احمد ادم خليل علي يعقوب كامل حسين,,yes,no,no
SHA-03-066,SHA-03-066,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1995,"Bahri, Kafouri",concert with 'Ali Yagoub Shihab Sharhabil Adam Khalil and Kamil Hussain,,yes,no,no
SHA-03-066,SHA-03-066,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1995,بحري، كافوري,حفلة مع علي يعقوب شهاب شرحبيل ادم خليل كامل حسين,,yes,no,no
SHA-03-067,SHA-03-067,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.4,1991-1992,"Khartoum, Khartoum University Publishing House",Sharhabil Ahmed concert celebration of a million books,,yes,no,no
SHA-03-067,SHA-03-067,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 14.4,1991-1992,الخرطوم، مكتب النشر,حفلة شرحبيل احمد. الاحتفال بالمليون كتاب,,yes,no,no
SHA-03-068,SHA-03-068,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.4 by 10.4,1965,Tunisia,Syrian and Sudanese bands for festival in the hotel,,yes,no,no
SHA-03-068,SHA-03-068,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.4,1965,تونس,المبعوثين السوداني والسوري للحفلة في الفندق,,yes,no,no
SHA-03-069,SHA-03-069,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-069,SHA-03-069,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-070,SHA-03-070,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.9 by 13.9,1965,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-070,SHA-03-070,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.9 by 13.9,1965,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-071,SHA-03-071,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.2,1994,"Saudi Arabia, Jeddah, Sudanese Embassy",Sharhabil Ahmed and employees of the Sudanese EMbassy among them Salah Mustafa,,yes,no,no
SHA-03-071,SHA-03-071,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.2,1994,السعودية، جدة، السفارة السودانية,شرحبيل احمد وموظفين السفارة السودانية من ضمنهم صلاح مصطفى,,yes,no,no
SHA-03-072,SHA-03-072,en,,Sharhabil Ahmed,Sharhabil Ahmed,French Cultural Center Khartoum,photograph 10.2 by 15,2000s,"Khartoum, French Cultural Center",Sharhabil Ahmed Muhammad Wardi and Minister Abdel Basil,,yes,no,no
SHA-03-072,SHA-03-072,ar,,شرحبيل احمد,شرحبيل احمد,مركز الثقافة الفرنسية الخرطوم,photograph 10.2 by 15,2000s,الخرطوم، مركز الثقافة الفرنسية,شرحبيل احمد محمد وردي والوزير عبد الباصل,,yes,no,no
SHA-03-073,SHA-03-073,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 14.1,1978,Khartoum,Concert Sharhabil Ahmed Kemal Kela Salah Bashir and Zakia Abu Gasim,,yes,yes,yes
SHA-03-073,SHA-03-073,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 14.1,1978,الخرطوم,حفلة من ضمنهم شرحبيل احمد وكمال كيلا وصلاح بشير وزاكية ابو قاسم,,yes,yes,yes
SHA-03-074,SHA-03-074,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-074,SHA-03-074,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-075,SHA-03-075,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-075,SHA-03-075,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-076,SHA-03-076,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 14.4,1995,,concert with Sharhabil Ahmed 'Ali Yagoub Shihab Sharhabil Adam Khalil and Kamil Hussain,,yes,no,no
SHA-03-076,SHA-03-076,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 14.4,1995,بحري، كافوري,حفلة من ضمنهم شرحبيل احمد. علي يعقوب شهاب شرحبيل ادم خليل كامل حسين,,yes,no,no
SHA-03-077,SHA-03-077,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1995,"Khartoum, Khartoum University Publishing House",Sharhabil Ahmed,,yes,no,no
SHA-03-077,SHA-03-077,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1995,الخرطوم، مكتب النشر,شرحبيل احمد,,yes,no,no
